Scientific Name,Common Name,English Description (ecological_importance),Current Twi Description,Proposed Twi Description
Acalypha wilkesiana,Copperleaf,"Dense foliage provides shelter for small insects and birds; large leaves contribute leaf litter improving soil organic content.","","Nnua yi nhaban a ɛyɛ den ma nkoekoemmoa nketewa ne nnomaa nya ahɔhodan; nhaban akɛse no hwe ase ma ɛma asase no organic content yɛ kɛse."
Adonidia merrillii,Manila Palm,"Fruit (red when ripe) eaten by birds aiding seed dispersal; palm crown provides nesting sites for small birds.","","Sɛ ɛwo a, n'aduaba kɔkɔɔ no nnomaa di, na ɛboa ma aba no trɛw; dua no atifi ma nnomaa nketewa nya baabi yɛ wɔn bere."
Agave attenuata,Soft Agave,"Produces abundant nectar for bats, hummingbirds, and insects during its single spectacular flowering event.","","Bere a ɛyɛ nhwiren prɛko no, ɛma anantwi anadwo, nnomaa nketewa a wɔwe nhwiren mu nectar, ne nkoekoemmoa nya nectar pii."
Albizia julibrissin,Silktree,"Nitrogen-fixing root nodules enrich soil; abundant nectar-rich flowers attract bees and butterflies; seed pods consumed by birds.","","Ne ntini so nodules a ɛkyekye nitrogen ma asase nya ahoɔden; nhwiren a nectar wom pii twetwe nwoawa ne aboɔpɔnkɔ; nnomaa di aba no nsina."
Albizia lebbeck,Woman’s Tongue,"Nitrogen-fixing root nodules enrich soil; abundant fragrant flowers attract bees and butterflies; seed pods consumed by birds.","","Ne ntini so nodules a ɛkyekye nitrogen ma asase nya ahoɔden; nhwiren a ɛyɛ huam twetwe nwoawa ne aboɔpɔnkɔ; nnomaa di aba no nsina."
Alchornea cordifolia,Christmas Bush,"Native West African species; flowers attract pollinators; fruit consumed by birds; provides habitat for forest insects and small vertebrates in secondary vegetation.","","Ɛyɛ afifide a ɛyɛ West Africa de; ne nhwiren twetwe mmoa a wɔboa ma afifide nya aba; nnomaa di n'aduaba; ɛma kwae mu nkoekoemmoa ne mmoa nketewa nya tenabea wɔ afifide a ɛsan nyin mu."
Aloe vera,Aloe Vera,"Flowers provide nectar for sunbirds and bees; naturalised populations support local insect communities.","","Ne nhwiren ma sunbirds ne nwoawa nya nectar; afifide a anya ne ho wɔ kwae mu no boa mpɔtam hɔ nkoekoemmoa."
Alternanthera dentata,Blood Leaf,"Dense foliage provides ground-level habitat for insects; flowers attract small bees and flies.","","Nhaban a ɛyɛ den ma nkoekoemmoa nya tenabea wɔ asase ho; nhwiren no twetwe nwoawa nketewa ne nwansena."
Anacardium occidentale,Cashew,"Flowers provide abundant nectar for bees and butterflies; cashew apple fruit feeds birds, bats, and mammals.","","Nhwiren no ma nwoawa ne aboɔpɔnkɔ nya nectar pii; cashew apple no ma nnomaa, anantwi anadwo ne mmoa di."
Araucaria heterophylla,Norfolk Island Pine,"Distinctive tiered architecture provides nesting sites for birds; seeds eaten by some bird species.","","Ne mman a ɛyɛ afam no ma nnomaa nya baabi yɛ wɔn bere; nnomaa bi di ne aba."
