scientific_name,description_twi
"Acalypha wilkesiana","Ɛyɛ dutan a efi Pacific Islands mpoano nsase so na ebetumi akɔ mita 1 kosi 3. Ne nhaban a ɛyɛ den no bɔ nkoekoemmoa nketewa ne nnomaa ho ban, na sɛ nhaban akɛse no hwe ase a, ɛma asase no nya ahoɔden. Wɔ Ghana, wɔde ne nhaban yɛ aduro twa ɛkuro ne honam yare ho. Nnipa dua no titiriw sɛ afɛfɛde wɔ suku ne ayaresabea afikyiri, na wobetumi de mman ayɛ mma foforo ntɛm."
"Adonidia merrillii","Ɛyɛ abɛ dua ketewa a efi Philippines na ebetumi akɔ mita 5 kosi 8. Sɛ n'aduaba yɛɛ a, ɛyɛ kɔkɔɔ, na nnomaa di, ma aba no trɛw; dua no atifi nso ma nnomaa nketewa nya baabi yɛ wɔn bere. Ne mfaso titiriw ne sɛ ɛyɛ afɛfɛde a wodua no wɔ Ghana mmeaɛ pii, ne sɛnea wɔde si Christmas afɛfɛde wɔ Philippines."
"Agave attenuata","Ɛyɛ afifide a efi Mexico bepɔw so; ne nhaban toro yɛ round-shape na ne ntrɛmu bɛyɛ mita 0.5 kosi 1.5, na sɛ ɛreyɛ nhwiren a, ne dua tumi kɔ mita 2 kosi 3. Bere a ɛyɛ nhwiren prɛko (ɛyɛ ne nkwa mu bi pɛ) no, ɛma apan, nnomaa nketewa, ne nkoekoemmoa nya nhwiren mu nsu pii. Ne nhaban a ɛyɛ den no boa ma asase a ɛyɛ mmɔbɔ anaa abo bebree so gyina hɔ yiye a ɛnhia nsu pii. Wodua no titiriw sɛ afɛfɛde wɔ suku turo mu, na eye sen Agave americana efisɛ nsosɔ ho."
"Albizia julibrissin","Ɛyɛ dua a efi Asia atɔe fam kɔsi China na ebetumi akɔ mita 5 kosi 12. Ne ntini so nkwammoaa boa ma asase no nya ahoɔden; ne nhwiren a nhwiren mu nsu wom pii no twetwe nwoawa ne aboɔpɔnkɔ, na nnomaa di n'aba. Wɔ China, wɔde ne dua akyi bɔ nsu ma nna a ɛmma yiye ne akoma mu haw; wɔde nso yɛ aduro fa honam apira ho. Wodua no titiriw sɛ sunsuma dua wɔ afɛfɛde turo mu, na wɔde ne dua sen apon ne nnwinnade nketewa."
"Albizia lebbeck","Ɛyɛ dua kɛse a efi India fam na ebetumi akɔ mita 15 kosi 30. Ne ntini so nkwammoaa ma asase nya ahoɔden; ne nhwiren huam no twetwe nwoawa ne aboɔpɔnkɔ, na nnomaa di n'aba nsina; sɛ mframa bɔ a, aba nsina no yɛ nnyigyei, ɛno na ɛma wɔfrɛ no 'Woman's Tongue' Borɔfo kasa mu. Wɔ Ghana ne Afrika Atɔe Fam nyinaa, wɔde ne dua akyi yɛ aduro ma ɛwaseɛ ne ntini mu haw; wɔde nhaban nso hwɛ ani yare. Wodua no sɛ sunsuma dua ma cocoa ne kɔfe mfuo, na wɔde ne dua sen apon ne fam adan mu nneɛma."
"Alchornea cordifolia","Ɛyɛ dutan a ɛfiri Ghana ne Afrika Atɔe Fam ankasa, na ebetumi akɔ mita 1 kosi 8. Ne nhwiren twetwe mmoa a wɔboa ma afifide nya aba, na nnomaa di n'aduaba; ɛma kwae mu nkoekoemmoa ne mmoa nketewa nya tenabea. Ɛyɛ dua a wɔfa yɛ aduro pii sen biara wɔ Afrika Atɔe Fam; wɔde nhaban, dua akyi, ne ntini yɛ aduro ma apira a ayɛ bɔne, atiridii, ne honam yare wɔ Ghana, Nigeria, ne Cameroon nyinaa. Wɔtɔn ne nhaban wɔ aduruyɛ gua so wɔ Ghana. Ɛnyin ntɛm na edi kan wɔ kwae a asɛe so."
"Aloe vera","Ɛyɛ afifide a efi Arabian mpɔtam, na ebetumi akɔ mita 0.3 kosi 1.0. Ne nhwiren ma nnomaa ne nwoawa nya nhwiren mu nsu; afifide a anya ne ho wɔ mpɔtam hɔ no boa mpɔtam hɔ nkoekoemmoa. Ne nhaban mu asuo yɛ nnuro ne ahosiesie nneɛma a wɔfa yɛ adwuma pii sen biara wiase nyinaa; wɔ Ghana, wɔde di ɔhyew apira ne honam yare ho dwuma, na wɔde nso yɛ aduro ma yafunu a ayɛ den. Ne nhaban a ɛyɛ den no boa ma asase a ɛyɛ mmɔbɔ so nnye nsu pii."
"Alternanthera dentata","Ɛyɛ afifide a efi Amerika mpɔtam a ɔyɛ hyew, na ebetumi akɔ mita 0.3 kosi 0.8. Ne nhaban a ɛyɛ den no ma nkoekoemmoa nya tenabea wɔ asase ho; ne nhwiren twetwe nwoawa nketewa ne nwansena. Ne nhaban kɔkɔɔ a ɛhyerɛn no ma wɔfa yɛ afɛfɛde a wɔdua wɔ Ghana suku ne ahɔhoɔdan turo mu; ɛboa nso ma asase a ɛda bepɔw so no ntumi nsɛe."
"Anacardium occidentale","Ɛyɛ dua a efi Brazil, na ebetumi akɔ mita 10 kosi 12 a ne mman trɛw kɛse. Ne nhwiren ma nwoawa ne aboɔpɔnkɔ nya nhwiren mu nsu pii; ne aduaba (cashew apple) ma nnomaa, apan, ne mmoa afoforo di. Ghana yɛ Africa cashew adetɔn adi kan aduonum so, na Brong-Ahafo ne Upper East mmeaɛ na wɔyɛ pii a wɔtɔn kɔ amannɔne. Wɔ Ghana, wɔde ne dua akyi bɔ nsu ma sɛ ɛse yare ne yafunu yare; wɔde aduaba nsuo nso yɛ aduro."
"Araucaria heterophylla","Ɛyɛ dua tenten a efi Norfolk Island (Pacific po no mu), na ebetumi akɔ mita 15 kosi 35, na wɔ ne kurom no, ebetumi akɔ mita 65. Ne mman a wɔahyehyɛ no afam-afam no ma nnomaa nya baabi yɛ wɔn bere; nnomaa bi nso di n'aba. Esiane ne su papa a ɛte sɛ Christmas dua no nti, wodua no wɔ afɛfɛde turo pii wɔ Ghana suku ne fie akɛse mu."
"Azadirachta indica","Ɛyɛ dua a efi India fam, na ebetumi akɔ mita 15 kosi 20, ebi kɔ mita 30. Ne dua atifi a ɛyɛ den no bɔ nnomaa ne nkoekoemmoa ho ban; ne nhwiren ma nwoawa nya nhwiren mu nsu; nhaban a ɛhwe ase no ma asase nya ahoɔden ntɛm. Ɛyɛ dua a Ghanafoɔ de yɛ aduro pii sen biara; wɔde ne dua akyi, nhaban, ne aba yɛ aduro ma atiridii, honam yare, ne mmoawa a wɔde yare ba. Neem ngo a wɔfi aba mu yi no, akuafo Ghana de kum mmoa a wɔsɛe mfuo, na UENR ne Ghana Health Service akamfo sɛ wonnua saa dua yi."
"Bambusa vulgaris","Ɛyɛ ɛserɛ dua kɛse a efi Asia apuei fam, na ebetumi akɔ mita 10 kosi 20. Ne akuw a ɛyɛ den no ma nnomaa nya baabi yɛ wɔn bere na wɔhome; ɛboa mmoa nketewa ne nkoekoemmoa, na ɛbɔ nsu kwan ho ban wɔ asubɔnten ho. Ɛyɛ Ghana nnua a mfaso wɔ so titiriw wɔ fie adansie ne nsakuu adwinnie mu; wɔde ne dua si adan, apon, ne nkɛntɛnso. Ne nkonkɔn foforo yɛ aduan pa, na ne nhaban nso yɛ mmoa aduan."
"Blighia sapida","Ɛyɛ dua a efi Ghana, Nigeria, Cameroon, ne Côte d'Ivoire, na ebetumi akɔ mita 10 kosi 20; ne din Twi mu ne Akye. Ne nhwiren ma nwoawa nya nhwiren mu nsu pii; sɛ n'aduaba bue ankasa a, nnomaa ne apan di; ɛyɛ aduan dua a ɛho hia wɔ Guinea kwae mpɔtam. ANSƐE: Sɛ wobɛdi n'aduaba mu, twɛn kosi sɛ ɛbɛbue ankasa na abere yiye; sɛ aba no mmerɛ ɛnyɛ yiye a, awuduru wom a ɛde ɔyare kɛse ba. N'aba mu de, ɛnsɛ sɛ obi di da biara. Wɔde nhaban ne dua akyi nso yɛ aduro ma yafunu yare."
"Breynia disticha","Ɛyɛ dutan a efi Pacific Islands, na ebetumi akɔ mita 0.5 kosi 2. Ne nhaban a ɛyɛ den no bɔ nkoekoemmoa ho ban; nhwiren nketewa no twetwe nwoawa nketewa. Wodua no titiriw sɛ afɛfɛde wɔ Ghana suku ne ahɔhoɔdan turo ano hyeɛ so. ANSƐE: Ebia awuduru kakraa bi wom, enti hwɛ yiye wɔ ho."
"Broussonetia papyrifera","Ɛyɛ dua a efi China, Japan, ne Korea, na ebetumi akɔ mita 10 kosi 15. N'aduaba kɔkɔɔ a ɛyɛ nam no yɛ aduan titiriw ma apan ne nnomaa; wɔahu wɔ UENR campus sɛ ɛboa apan ma wɔtrɛw aba. Ɛyɛ afifide a edi kan nya baabi wɔ asase a asɛe so. Wɔ Asia apuei fam, wɔde ne dua akyi yɛ aduro ma nsu a ɛntumi mfi mu, na wɔde nso yɛ honam apira aduro."
"Caladium spp.","Ɛyɛ afifide a efi Brazil ne Amazon mpɔtam, na ebetumi akɔ mita 0.3 kosi 0.9. Ɛboa wuram mmoa kakraa bi; wɔdua no titiriw sɛ afɛfɛde, na wɔpɛ no esiane ne nhaban kɔla ahorow nti. ANSƐE: Ne fa nyinaa yɛ awuduru kɛse. Sɛ obi di bi anaa ne nsuo ka anom hɔ a, ɛde ɔyaw kɛse ne ahonhon ba; enti fa yiye fi mmofra ne mmoa akyi."
"Calotropis procera","Ɛyɛ dutan a efi Afrika apuei atifi fam ne Middle East, na ebetumi akɔ mita 2 kosi 4. Ne nhwiren twetwe monarch nwoawa ne mmoa a wɔboa ma afifide nya aba; ɛyɛ afifide a nwoawa ahorow pii wɔ Ghana de wɔn mma nyin so. Wɔde ne dua ho ntoma pemp yɛ ahoma ne asau wɔ mmeaɛ bi. ANSƐE: Ne nsuo fufuo (latex) ne ntini yɛ awuduru kɛse; ɛnsɛ sɛ obi di da biara."
"Cananga odorata","Ɛyɛ dua a efi Philippines, Indonesia, ne Malaysia, na ebetumi akɔ mita 15 kosi 25, ebi kɔ mita 30. N'aduaba tuntum akuw yɛ aduan a ɛho hia ma nnomaa; ne nhwiren twetwe anadwo ntontom ne mmoa afoforo a wɔboa ma afifide nya aba. Ne nhwiren ngo a wɔyi fi mu no yɛ ade a mfaso wɔ so kɛse wɔ hwam nyinaa adwuma mu wiase nyinaa; Madagascar ne Indonesia yɛ mmeaɛ a wɔyɛ pii. Wɔ Asia apuei fam, wɔde nhwiren ne nhaban yɛ aduro ma atiridii."
"Canna indica","Ɛyɛ afifide a efi Mexico kɔsi South America, na ebetumi akɔ mita 1 kosi 2. Ne nhwiren akɛse a ɛyɛ fɛ twetwe nnomaa nketewa a wɔnom nhwiren mu nsu ne aboɔpɔnkɔ; ne nhaban a ɛkata asase so no ma nkoekoemmoa ne mmoa nketewa nya tenabea. Ne ntini yɛ aduan a wodi wɔ Pacific ne Amerika mmeaɛ bi; wɔde n'aba dedaw yɛ mpire adwinnie, na saa nti na wɔfrɛ no 'Indian Shot.'"
"Carica papaya","Ɛyɛ dua a efi Mexico ne Central America, na ebetumi akɔ mita 5 kosi 10. Ɛnyin ntɛm na ɛyɛ afifide a edi kan kata asase so; ne nhwiren twetwe nwoawa ne ntontom akɛse; n'aduaba ma nnomaa ne apan di. Ɛyɛ Ghana aduaba a wɔdi na wɔtɔn pii, na Brong-Ahafo yɛ mpɔtam a wɔyɛ borɔferɛ pii wɔ; papain a wɔyi fi ne nsuo mu no yɛ ade a wɔtɔn kɔ amannɔne. Wɔ Ghana, wɔde nhaban yɛ aduro ma atiridii ne mogya mu haw; ne nsuo mu enzyme boa aduan a wadi no ne yam mu adwuma."
"Casuarina equisetifolia","Ɛyɛ dua a efi Asia apuei fam, Australia, ne Pacific nsupɔw so, na ebetumi akɔ mita 15 kosi 30. Ne nkabom ne asase mu nkwammoaa no ma asase a ɛyɛ mmɔbɔ nya ahoɔden; ɛdi kan nyin wɔ asase kwa, anhwea, ne asase a asɛe so; ɛma nnomaa a wodi aba nya tenabea. Ghana de dua saa wɔ mpoano de bɔ asase ho ban fi nsu ne mframa a efi po mu ho, na wɔde ne dua sen anwa ne dua a wɔde sɔ ogya. Wɔde ne dua akyi yɛ aduro ma yafunu yare wɔ Afrika Atɔe Fam."
"Cedrela odorata","Ɛyɛ dua tenten a efi Mexico kɔsi Argentina, na ebetumi akɔ mita 20 kosi 40. Ɛnyin ntɛm, na ne dua atifi ma nnomaa ne afifide a ɛnyin nnua so nya mmoa; ɛma wuram mmoa nya tenabea a ɛho hia. Ne dua yɛ mfaso kɛse wɔ apon ne nnwinnade a ɛsom bo yɛ adwuma mu; efisɛ wɔsɛe no bebree nti, wɔahyɛ mmara de bɔ ho ban wɔ amannɔne aguadi mu. Wɔ Mexico mpɔtam, wɔde ne dua akyi yɛ aduro ma atiridii ne honam yare."
"Cereus repandus","Ɛyɛ nkyerɛnkyerɛn afifide a efi Peru, Venezuela, ne Colombia, na ebetumi akɔ mita 2 kosi 5 wɔ turo mu. Ne nhwiren a ɛbue anadwo twetwe ntontom ne apan ma wɔboa ma ɛnya aba; n'aduaba kɔkɔɔ a ɛyɛ nam no nnomaa, apan, ne mmoa di. N'aduaba dɛ na wodi (bi frɛ no pitaya), na ɛboa yafunu mu adwuma. Ennye nsu pii, enti eye ma mmeaɛ a asase yɛ mmɔbɔ."
"Citrus sinensis","Ɛyɛ dua a ebetumi akɔ mita 12, a efi China apuei fam. Ne aduaba yɛ kɔkɔɔ-akokɔsraadɛ, dɛɛdɛɛ, na Vitamin C wom pii. Wɔ Ghana, wɔde ne nhaban bɔ nsu ma atiridii ne yafunu haw. Wodi aduaba no, nom ne nsuo, anaasɛ wɔtɔn no ma sika; ne nkrataa nso ma hanini nnɔnwa. Ɛyɛ dua pa ma sunsuma wɔ fie hɔ. Nanso sɛ wonom ne nsuo pii dodo a, ebetumi ama yafunu ayɛ hu; kɔ dokita anaa oduruyɛfoɔ hɔ ansa na wode ayɛ aduro."
