Scientific Name,Common Name,English Description,Final Twi Description,Review Note
Acalypha wilkesiana,Copperleaf,Dense foliage provides shelter for small insects and birds; large leaves contribute leaf litter improving soil organic content.,Ne nhaban a ɛyɛ den no ma nkoekoemmoa nketewa ne nnomaa nya ahobammɔ; nhaban akɛse a ɛhwe ase no boa ma asase no nya organic matter pii.,Cleaned technical wording; scientific meaning preserved.
Adonidia merrillii,Manila Palm,Fruit (red when ripe) eaten by birds aiding seed dispersal; palm crown provides nesting sites for small birds.,"Sɛ n'aduaba no yɛɛ a, ɛyɛ kɔkɔɔ, na nnomaa di, na ɛboa ma aba no trɛw; dua no atifi ma nnomaa nketewa nya baabi yɛ wɔn bere.",Naturalized phrasing for spoken Twi.
Agave attenuata,Soft Agave,"Produces abundant nectar for bats, hummingbirds, and insects during its single spectacular flowering event.","Bere a ɛyɛ nhwiren no, ɛma anantwi anadwo, nnomaa nketewa a wɔnom nhwiren mu nsu, ne nkoekoemmoa nya nhwiren mu nsu pii.",Replaced unexplained English “nectar” with a spoken description.
Albizia julibrissin,Silktree,Nitrogen-fixing root nodules enrich soil; abundant nectar-rich flowers attract bees and butterflies; seed pods consumed by birds.,Ne ntini so nkwammoaa a ɛboa ma nitrogen kɔ asase mu no ma asase nya ahoɔden; ne nhwiren a nhwiren mu nsu wom pii twetwe nwoawa ne aboɔpɔnkɔ; nnomaa di aba nsina no.,Technical term simplified for audio.
Albizia lebbeck,Woman’s Tongue,Nitrogen-fixing root nodules enrich soil; abundant fragrant flowers attract bees and butterflies; seed pods consumed by birds.,Ne ntini so nkwammoaa a ɛboa ma nitrogen kɔ asase mu no ma asase nya ahoɔden; ne nhwiren a ɛyɛ huam twetwe nwoawa ne aboɔpɔnkɔ; nnomaa di aba nsina no.,Technical term simplified for audio.
Alchornea cordifolia,Christmas Bush,Native West African species; flowers attract pollinators; fruit consumed by birds; provides habitat for forest insects and small vertebrates in secondary vegetation.,Ɛyɛ afifide a ɛyɛ West Africa de; ne nhwiren twetwe mmoa a wɔboa ma afifide nya aba; nnomaa di n'aduaba; ɛma kwae mu nkoekoemmoa ne mmoa nketewa nya tenabea wɔ kwae a ɛsan nyin mu.,Refined grammar.
Aloe vera,Aloe Vera,Flowers provide nectar for sunbirds and bees; naturalised populations support local insect communities.,Ne nhwiren ma nnomaa ne nwoawa nya nhwiren mu nsu; afifide a anya ne ho wɔ mpɔtam hɔ no boa mpɔtam hɔ nkoekoemmoa.,Removed unnecessary English terms.
Alternanthera dentata,Blood Leaf,Dense foliage provides ground-level habitat for insects; flowers attract small bees and flies.,Ne nhaban a ɛyɛ den no ma nkoekoemmoa nya tenabea wɔ asase ho; ne nhwiren twetwe nwoawa nketewa ne nwansena.,Clean spoken phrasing.
Anacardium occidentale,Cashew,"Flowers provide abundant nectar for bees and butterflies; cashew apple fruit feeds birds, bats, and mammals.","Ne nhwiren ma nwoawa ne aboɔpɔnkɔ nya nhwiren mu nsu pii; ne cashew apple ma nnomaa, anantwi anadwo ne mmoa di.",Kept familiar “cashew apple” rather than inventing a local botanical term.
Araucaria heterophylla,Norfolk Island Pine,Distinctive tiered architecture provides nesting sites for birds; seeds eaten by some bird species.,Ne mman a wɔahyehyɛ no afam-afam no ma nnomaa nya baabi yɛ wɔn bere; nnomaa bi nso di ne aba.,Improved naturalness.
Azadirachta indica,Neem Tree,Dense canopy shelters birds and insects; flowers provide nectar for bees; leaf litter enriches soil with nitrogen-containing compounds.,Ne dua atifi a ɛyɛ den no bɔ nnomaa ne nkoekoemmoa ho ban; ne nhwiren ma nwoawa nya nhwiren mu nsu; nhaban a ɛhwe ase no ma asase nya nneɛma a nitrogen wom.,Preserved nitrogen-related meaning.
Bambusa vulgaris,Bamboo,Dense clumps provide nesting and roosting habitat for birds; bamboo thickets support small mammals and insects; watershed protection in riparian zones.,Bamboo akuw a ɛyɛ den no ma nnomaa nya baabi yɛ wɔn bere na wɔhome; bamboo kwae nketewa no boa mmoa nketewa ne nkoekoemmoa; ɛboa bɔ nsu kwan ho ban wɔ asubɔnten ho.,Improved grammar.
Blighia sapida,Ackee,Flowers produce abundant nectar for bees; fruit consumed by birds and bats after natural opening; important native food tree in the Guinean forest zone.,"Ne nhwiren ma nwoawa nya nhwiren mu nsu pii; sɛ n'aduaba bue ankasa a, nnomaa ne anantwi anadwo di; ɛyɛ aduan dua a ɛho hia wɔ Guinea kwae mpɔtam.",Natural spoken phrasing.
Breynia disticha,Snowbush,Dense foliage provides insect shelter; small flowers attract small bees; compact habit supports ground-level insect communities.,Ne nhaban a ɛyɛ den no bɔ nkoekoemmoa ho ban; nhwiren nketewa no twetwe nwoawa nketewa; ne nyin a ɛyɛ tiawa no boa nkoekoemmoa a wɔwɔ asase ho.,Cleaned wording.
Broussonetia papyrifera,Paper Mulberry,Fleshy red fruit is a major food source for fruit bats and birds; plays a documented role in bat seed dispersal at UENR campus; pioneer species that rapidly colonises disturbed areas.,N'aduaba kɔkɔɔ a ɛyɛ nam no yɛ aduan titiriw ma anantwi anadwo ne nnomaa; wɔahu wɔ UENR campus sɛ ɛboa anantwi anadwo ma wɔtrɛw aba; ɛyɛ afifide a edi kan nya baabi wɔ asase a asɛe so.,Preserved documented-campus claim.
Caladium spp.,Caladium,Minimal wildlife support; mainly ornamental; grown for foliage colour.,"Ɛboa wuram mmoa kakraa bi; wɔdua no titiriw sɛ afɛfɛde, na wɔpɛ no esiane ne nhaban kɔla nti.",Good as-is with minor cleanup.
Calotropis procera,Apple of Sodom,Flowers attract monarch butterflies and other pollinators; an important larval host plant for several butterfly species in Ghana.,Ne nhwiren twetwe monarch aboɔpɔnkɔ ne mmoa a wɔboa ma afifide nya aba; ɛyɛ afifide a aboɔpɔnkɔ ahorow pii wɔ Ghana de wɔn mma nyin so.,Preserved “larval host” meaning.
Cananga odorata,Ylang-Ylang,Clusters of black fruit are an important food item for birds; flowers attract moths and other nocturnal pollinators.,N'aduaba tuntum akuw yɛ aduan a ɛho hia ma nnomaa; ne nhwiren twetwe anadwo ntontom ne mmoa afoforo a wɔboa ma afifide nya aba.,Cleaned pollination wording.
Canna indica,Indian Shot,Large showy flowers attract hummingbirds and butterflies; provides dense groundcover for insects and small animals.,Ne nhwiren akɛse a ɛyɛ fɛ twetwe nnomaa nketewa a wɔnom nhwiren mu nsu ne aboɔpɔnkɔ; ne nhaban a ɛkata asase so no ma nkoekoemmoa ne mmoa nketewa nya tenabea.,REMOVED accidental UENR Flora test sentence from the old entry.
Carica papaya,Pawpaw,Fast-growing pioneer providing rapid canopy cover; flowers attract bees and hawkmoths; fruit feeds birds and bats.,Ɛnyin ntɛm na ɛyɛ afifide a edi kan kata asase so; ne nhwiren twetwe nwoawa ne ntontom akɛse; n'aduaba ma nnomaa ne anantwi anadwo di.,Clean spoken phrasing.
Casuarina equisetifolia,Casuarina,"Nitrogen-fixing symbiosis with Frankia soil bacteria enriches poor soils; pioneer on bare, sandy, and degraded land; provides habitat for seed-eating birds.","Ne nkabom ne Frankia bacteria a ɛwɔ asase mu no ma asase a ɛyɛ mmɔbɔ nya ahoɔden; ɛdi kan nyin wɔ asase kwa, anhwea ne asase a asɛe so; ɛma nnomaa a wodi aba nya tenabea.",Preserved Frankia reference.
Cedrela odorata,Spanish Cedar,Fast-growing canopy tree that supports birds and epiphytes; provides significant wildlife habitat.,Ɛyɛ dua a ɛnyin ntɛm na ne dua atifi ma nnomaa ne afifide a ɛnyin nnua so nya mmoa; ɛma wuram mmoa nya tenabea a ɛho hia.,Replaced unexplained “epiphytes” with descriptive Twi.
Cereus repandus,Peruvian Apple Cactus,"Nocturnal flowers attract moths and bats for pollination; fleshy red-purple fruit consumed by birds, bats, and mammals.","Ne nhwiren a ɛbue anadwo twetwe ntontom ne anantwi anadwo ma wɔboa ma ɛnya aba; n'aduaba kɔkɔɔ a ɛyɛ nam no nnomaa, anantwi anadwo ne mmoa di.",Removed awkward “red-purple”.
Citrus sinensis,Orange,Flowers attract bees and butterflies as important pollinators; fruit consumed by birds aiding seed dispersal.,Ne nhwiren twetwe nwoawa ne aboɔpɔnkɔ a wɔboa ma afifide nya aba; nnomaa di n'aduaba na ɛboa ma aba no trɛw.,Clean spoken phrasing.
Cocos nucifera,Coconut Palm,"Coconuts float and remain viable in seawater for months, enabling natural dispersal across coastlines; flowers attract bees and small insects; fruit consumed by crabs and large mammals.","Akutu tumi sensɛn nsuo so na ɛkɔ so nya nkwa wɔ po nsuo mu abosome pii, enti ɛtumi trɛw ankasa wɔ mpoano; ne nhwiren twetwe nwoawa ne nkoekoemmoa nketewa; akutu no ma akɔre ne mmoa akɛse nya aduan.",Corrected the duplicated “akutu no akutu”.
Codiaeum variegatum,Croton,Dense foliage provides cover for small insects; bright foliage attracts birds to campus gardens; flowers attract small insects.,Ne nhaban a ɛyɛ den no bɔ nkoekoemmoa nketewa ho ban; nhaban kɔla hyerɛn no twetwe nnomaa ba campus turo mu; ne nhwiren twetwe nkoekoemmoa nketewa.,Cleaned wording.
Cordyline fruticosa,Ti Plant,Flowers attract bees and small insects; fruit eaten by birds; dense leaf base provides shelter for small lizards and insects.,Ne nhwiren twetwe nwoawa ne nkoekoemmoa nketewa; nnomaa di n'aduaba; nhaban no ase a ɛyɛ den bɔ akɔre nketewa ne nkoekoemmoa ho ban.,Cleaned wording.
Delonix regia,Flamboyant,Flowers provide abundant nectar for sunbirds and butterflies; flower structure attracts large pollinators; umbrella-shaped crown provides habitat for birds.,Ne nhwiren ma nnomaa ne aboɔpɔnkɔ nya nhwiren mu nsu pii; ne nhwiren no sɛnea wɔahyehyɛ no twetwe mmoa akɛse a wɔboa ma afifide nya aba; ne dua atifi te sɛ kyɛw ma nnomaa nya tenabea.,Removed English “sunbirds”/“nectar”.
Dracaena trifasciata,Bowstring Hemp,One of the few native West African plants on this list; flowers provide nocturnal nectar for moths; native range includes the broader West African forest zone.,Ɛyɛ West Africa afifide kakraa bi mu baako wɔ saa din yi mu; ne nhwiren ma ntontom nya nhwiren mu nsu anadwo; ɛwɔ West Africa kwae mpɔtam a ɛtrɛw mu.,Cleaned grammar.
